Id,CompanyName,Address,Address2,City,State,Zip,Phone,Fax,Email,Contact,SalesRepName,PriceList,Discount,PaymentTerms
305149,HOME ESSENTIALS OUTLET-COOKSTO,TANGER OUTLETS COOKSTOWN,"3311 COUNTY ROAD 89, UNIT D10",COOKSTOWN,ON,L0L 1L0,705-458-2270,705-458-2275,amsbauer@rogers.com,ANDY BAUER ,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
305187,WABOOSE TOYS & CONVENIENCE,PO BOX 115,,FORT-HOPE,ON,P0T 1L0,807-242-1074,807-242-1346,ritarwaboose@yahoo.ca,RITA WABOOSE,DUANE GIRARDIN,NOGROUPCAD,0,ADVANCE PAYMENT
305892,HOME ESSENTIAL OUTLET INC-MIS,1672502 ONTARIO LIMITED,"3311 COUNTY ROAD 89, UNIT D10",COOKSTOWN,ON,L0L 1L0,905-271-6770,905-271-6925,amsbauer@rogers.com,ANDY BAUER,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
306012,BUYWISE PLUS,2224649 ONTARIO INC,"1700 WILSON AVE, PO BOX 17",NORTH YORK,ON,M3L 1B4,416-244-4757,,buywiseplus@yahoo.com,Bobby,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
306052,CANADIAN DOLLAR / ALISTAR INCORPORATED,5230 DUNDAS STREET WEST,,ETOBICOKE,ON,M9B 1A8,416-231-6406,,drew_ali15@hotmail.com,DRUPATI (DRU) PERSAUD,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
306059,99 CENTS DEPOT - CREDITVIEW,7534914 CANADA INC,6085 CREDITVIEW ROAD,MISSISSAUGA,ON,L5V 2A8,905-813-9614,905-813-9614,nintyninecentsdepot@yahoo.com,GRACE,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
306178,DOLLAR SMART - EGLINTON,2215489 ONTARIO LIMITED,898 EGLINTON AVENUE WEST,TORONTO,ON,M6C 2B6,416-789-2996,416-789-2996,dollarsmarteglinton@gmail.com,Manny,DUANE GIRARDIN,DISCOUNT24CAD,24,PD30-CQ.ADVANCE
306200,DOLLAR GALAXY / 2263914 ONTARIO INC.,"50 KENNEDY ROAD S, UNIT 6",,BRAMPTON,ON,L6W 3R7,905-796-1526,905-488-7598,ericlu2000@gmail.com,ERIC / ANNA LU,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
306218,ALLINSON'S DEPARTMENT STORE,212 KING STREET,,PORT COLBORNE,ON,L3K 3G7,905-401-8158,,allinson@cogeco.ca,CINDY ALLINSON,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
306283,HALIBURTON FOODLAND #6447,1827486 ONTARIO INC.,188 HIGHLAND STREET,HALIBURTON,ON,K0M 1S0,705-457-2242,705-457-3468,brad.park@sobeys.com,BRAD PARK,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
306412,WARDEN MART DOLLAR & SMOKE,2365 WARDEN AVENUE,,TORONTO,ON,M1T 1V7,416-492-5599,416-492-5599,invoice_to@ctgbrands.com,INVOICING_MAIL_TO3,DUANE GIRARDIN,DISCOUNT18CAD,18,PD30-CQ.ADVANCE
306415,1-STOP MARKET / HARSUKHJI INC.,"3078 MAYFIELD ROAD, UNIT 15-16",,BRAMPTON,ON,L6Z 0E3,905-840-2417,905-840-2417,harsukhji@hotmail.com,SATNAM SINGH,DUANE GIRARDIN,DISCOUNT18CAD,18,NET 30
306477,SUPER THRIFTY WAREHOUSE,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,wanda.matskiw@superthrifty.com,WANDA MATSKIW,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306524,THJ DOLLAR BAZAAR,2967 DUNDAS STREET WEST,,TORONTO,ON,M6P 1Z2,416-604-0298,,torontodong@yahoo.ca,ZHAO (DAVID DONGOU,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
306542,BAYSHORE VARIETY & VIDEO,9 JIIBIKK MIIKAN STREET,,CHRISTIAN ISLAND,ON,L9M 0A9,705-247-2020,705-247-2020,suesandy.bvv@gmail.com,MARY MARY,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
306563,95 CENT PLUS DISCOUNT,1670233 ONTARIO LTD,"2267 ISLINGTON AVENUE, UNIT 14",TORONTO,ON,M9W 5C8,416-744-0900,,mahin0710@yahoo.com,MOHAMMED AZAM,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
306576,WATERFORD FOODLAND #6340,792 OLD HWY 24,,WATERFORD,ON,N0E 1Y0,519-443-8609,519-443-4703,john.vandam@sobeys.com,JOHN VANDAM,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
306586,PENETANG FOODLAND / CHRIS CHERRY LIMITED,"2 POYNTZ STREET, UNIT 110",,PENETANGUISTHENE,ON,L9M 1M2,705-549-3127,705-549-4756,chris.cherry@sobeys.com,CHRIS CHERRY,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
306649,BEACH FOODLAND #6425,NKY BEACH SUPERMARKETS INC,2040 QUEEN STREET EAST,TORONTO,ON,M4L 1J4,416-694-3011,416-694-4986,nyk@rogers.com,NADIN NADIN,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
306680,HOME HARDWARE - GRAVENHURST,I & T McNAUGHTON HOLDINGS,295 MUSKOKA ROAD NORTH P.O. BOX 580,GRAVENHURST,ON,P1P 1X2,705-687-3479,705-687-2167,debbie.roy@homehardware.ca,DEBBIE ROY,DUANE GIRARDIN,DISCOUNT15CAD,15,NET 30
306693,BATTAGLIA'S / BATTAGLIA FOOD MARKETS,1150 LORNE PARK ROAD,,MISSISSAUGA,ON,L5H 3A5,905 271 3994,905 271 3660,dom.derenzis@hotmail.com,Dom,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306722,WALLENSTEIN GENERAL STORE,WALLENSTEIN GENERAL STORE INC.,7278 LINE 86 BOX 35,WALLENSTEIN,ON,N0B 2S0,519-669-2231,516-669-5677,chelsebun@mwpol.ca,ELSIE,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306728,SR KITCHEN FOOD FAIR,"8707 DUFFERIN STREET, UNIT 17",,VAUGHAN,ON,L4J 0A2,905-763-2909,,chung7059@hanmail.net,JENNY,DUANE GIRARDIN,NOGROUPCAD,0,ADVANCE PAYMENT
306734,FIVE STAR ENTERPRISES OF CDN,"275 STEELCASE ROAD EAST, UNIT 1",,MARKHAM,ON,L3R 1G3,905-944-1080,,sales@fivestarenterprise.ca,Mohammed Somji,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
306745,THE BABY'S PALACE / 2082028 ONTARIO INC,2225 ERIN MILLS PKWY,,MISSISSAUGA,ON,L5K 1T9,905-823-3993,905-915-2041,rosiegeyal2009baby@hotmail.com,Rosie Geyal,DUANE GIRARDIN,NOGROUPCAD,0,Pre-Auth Card
306749,SUPER THRIFTY PHARMACY-RICHMD,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,val.ferguson@superthrifty.com,Val Ferguson,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306750,SUPER THRIFTY PHARMACY-HAMIOTA,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,hamiota@superthrifty.com,Cherie Barrault,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306751,SUPER THRIFTY PHARMACY-THE PAS,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,thepas@superthifty.com,Shane Masters,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306752,SUPER THRIFTY PHARMACY-STE. ROSE,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,sterose@superthrifty.com,Elaine,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306753,SUPER THRIFTY PHARMACY-DAUPHIN,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,pearl.schulz@superthrifty.com,Pearl Schulz,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306754,SUPER THRIFTY PHARMACY-MORRIS,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,patsy.goodwin@superthrifty.com,Patsy Goodwin,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306756,SUPER THRIFTY PHARMACY-SELKIRK,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,mindy.polowy@superthrifty.com,Mindy Polowy,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306757,SUPER THRIFTY PHARMACY-MELITA,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,vickie.mcmechan@superthrifty.com,Vickie McMechan,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
306778,PHARMASAVE#921 SAV-ON DRUGMART,ARCHANGE MICHAEL PHARMACY LTD,880 BROWNSLINE,ETOBICOKE,ON,M8W 3V7,416-259-1175,416-259-1433,emank100@gmail.com,Emad Mankaruos,DUANE GIRARDIN,DISCOUNT10CAD,10,Pre-Auth Card
306830,DOLLAR MART / 1970233 ONTARIO LTD.,"1749 JANE STREET, UNIT  4",,TORONTO,ON,M9N 2S5,416-614-2557,416-614-3362,dollarmart13@gmail.com,KAMAL AHMED,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
306852,V S SUPPLIERS,238 MARGARET STREET,PO BOX 324 (SHOP IS BEHIND THE HOUSE),HARRISTON,ON,N0G 1Z0,519-338-2311,855-483-2954,suppliersvs@gmail.com,KATHY STOLL,DUANE GIRARDIN,DISCOUNT18CAD,18,Post Dated Cheque 30 on receipt
306961,DOLLAR POWER PLUS-BRAMPTON,DOLLAR SAVER MART INC,10671 CHINGUACOUSY ROAD,BRAMPTON,ON,L7A 0N5,905-840-1101,,rupi143@hotmail.com,RUPINDER DHALIWAL,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
306964,DOLLAR BAZAAR-STURGEON FALLS,2338477 ONTARIO INC,214 KING STREET,STURGEON FALLS,ON,P2B 1R7,705-358-9797,,buysmartdiscounts@gmail.com,Naveed,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
306986,WESTMOUNT PLACE PHARMACY/WPP,BEECHWOOD PHARMACY LIMITED,50 WESTMOUNT ROAD N,WATERLOO,ON,N2L 2R5,519-886-7670,519-886-2556,jennifer@westmountplacepharmacy.com,JENNIFER JACOBI,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
307184,HOME TEXTILE / BED & BATH WAREHOUSE INC,35 COVENTRY ROAD,,BRAMPTON,ON,L6T 4V7,905-792-1551,905-792-0776,lidio@hometextiles.ca,LIDIO GODINO,DUANE GIRARDIN,DISCOUNT24CAD,24,NET 30
307191,DOUBLE D CONVENIENCE,XIAOYING CHEN,101 DANFORTH AVENUE,TORONTO,ON,M4K 2R8,416-461-6439,416-461-6439,haidaohejz@gmail.com,Crystal,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
307239,DREAMS INDOOR PLAYLAND,EVERGREENN LEADERSHIP EDUCATIO,"2701 RUTHERFORD ROAD, BLDG B",CONCORD,ON,L4K 2N6,905-417-3962,,info@dreamsdc.ca,Simon,DUANE GIRARDIN,NOGROUPCAD,0,Pre-Auth Card
307336,LIQUIDATION NATION BARRIE,LIQUIDATION NATION INC,86 BROCK STREET,BARRIE,ON,L4N 5E4,705-726-9953,,graylynn4@gmail.com,LYNN,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307337,LIQUIDATION NATION ORILLIA,LIQUIDATION NATION INC,41 MISSISSAUGA STREET WEST,ORILLIA,ON,L3V 3A7,705-791-7381,,ryousof@gmail.com,RYAN YOUSOF - 7,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307366,DOLLAR POWER-WILSON,2392074 ONTARIO INC,1058 WILSON AVENUE,TORONTO,ON,M3K 1G6,416-636-8908,416-636-8908,gurcharan82@hotmail.com,GUREHARAN GILL - 2,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307399,SKAF'S BARGAIN ZONE,988421 ONTARIO INC,470 HODDER AVENUE,THUNDER BAY,ON,P7A 7X5,807-683-3930,807-683-5099,joseph@skafsjustbasics.com,JOSEPH (SON) SKAF,DUANE GIRARDIN,DISCOUNT15CAD,15,Post Dated Cheque 30 on receipt
307412,TRUCKER HAVEN / S.B.A. SAINI LIMITED,806607 OXFORD COUNTY ROAD 29,,DRUMBO,ON,N0J 1G0,519-463-5088,519-463-5628,squibs142@live.com,AMARIT SAINI,DUANE GIRARDIN,NOGROUPCAD,0,PENDING
307437,GORGEOUS GAMS,76 LOUDON CRESCENT,,THORNHILL,ON,L4J 8N4,416-948-4892,,aprilw.ggams@gmail.com,APRIL WOOLNER,DUANE GIRARDIN,DISCOUNT10CAD,10,CREDIT CARD
307447,PARTY GALAXY,2264966 ONTARIO INC,5 MOUNTAIN STREET,GRIMSBY,ON,L3M 3J5,905-309-3826,905-309-6826,msaleemrafiq@hotmail.com,MOHAMMAD RAFIQ,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307483,LIQUIDATION CITY,TRI-STAR AUCTIONS LTD,"773112 COUNTY ROAD 59 SOUTH, PO BOX 898",NORWICH,ON,N0J 1P0,519-468-3541,519-468-2539,peter@liquidationcity.ca,Pete,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
307603,MY UNIQUE DOLLAR STORE & MORE,2421284 ONTARIO INC,6500 LUNDY'S LANE,NIAGARA FALLS,ON,L2G 1T6,905-358-1985,905-358-1985,ibrahim.nakhuda@hotmail.com,IBRAHIM NAKHUDA,DUANE GIRARDIN,DISCOUNT24CAD,24,Pre-Auth Card
307656,JACK'S PLACE  FOR KIDS / 2474885 ONT LTD,342 SIMCOE STREET,PO BOX 219,BEAVERTON,ON,L0K 1A0,705-426-1354,,carole.roberts@sympatico.ca,CAROLE ROBERTS - 1,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
307707,BIG BAZAAR / 2460604 ONTARIO INC.,"5602 TENTH LINE WEST, UNIT 121",,MISSISSAUGA,ON,L5M 7L9,905-286-4627,905-286-4629,bigbazaar@hotmail.com,RASHID KHAN,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
307724,BENEFITS OF BEAUTY,"270 RUTHERFORD ROAD SOUTH, UNIT 4",,BRAMPTON,ON,L6W 3K7,905-541-7903,,roy@bofb.ca,ROY ZAMMIT,DUANE GIRARDIN,DISCOUNT20CAD,20,Payment on receipt
307764,STURGEON FALLS HOME HDW-1687-3,"ALLIANCE INTERNATIONAL, LLC.",34 HENRY STREET WEST,ST.JACOBS,ON,N0B 2N0,705-753-0810,705-753-0181,louise@sfhhbc.ca,Louise Rolfe,DUANE GIRARDIN,DISCOUNT15CAD,15,NET 30
307788,DOLLAR DISCOUNT STORE-BALMORAL,1000566577 ONTARIO INC,700 BALMORAL DRIVE,BRAMPTON,ON,L6T 1X2,905-799-8270,905-799-8270,jaspal_dhaliwal@icloud.com,JASPAL DHALIWAL,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307858,SUNDRIDGE FOODLAND #6819,2379446 ONTARIO LIMITED,"10 JOHN STREET, PO BOX 1119",SUNDRIDGE,ON,P0A 1Z0,705-384-5378,705-384-5875,brent.harris@sobeys.com,BRENT/MARLENE HARRIS,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
307908,MR. LIQUIDATION / ZANE TRADING INC.,869 BARTON STREET EAST,,HAMILTON,ON,L8L 3B4,905-906-4861,,m_momani1969@hotmail.com,MOHAMMAD ALMONANI,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
307919,NEWCASTLE FOODLAND #6837,2494912 ONTARIO LIMITED,131 KING AVENUE EAST,NEWCASTLE,ON,L1B1H3,905-987-4056,905-987-3053,Ryan.Ormiston@sobeys.com,RYAN ORMISTON,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
307921,CANNINGTON FOODLAND,1238251 ONTARIO INC.,35 CAMERON STREET EAST,CANNINGTON,ON,L0E 1E0,705-432-3398,705-432-3449,melissa.mount@sobeys.com,Melissa Mount,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
307925,DOLLAR BAZAAR / AFSA TRADERS,"4728 JANE STREET, UNIT 4",,TORONTO,ON,M3N 2L1,416-739-6052,,sikandarshaikh20003@gmail.com,SIKANDAR SHAIKH,DUANE GIRARDIN,NOGROUPCAD,0,Pre-Auth Card
307980,CHRISTMAS SPIRIT / KISDAK LTD,571 PARIS ROAD,,PARIS,ON,N3L 3H9,519-754-6813,,davek@christmasspirit.ca,DAVE KERR,DUANE GIRARDIN,DISCOUNT20CAD,20,PD30-CQ.ADVANCE
308018,RUSSELL FOODLAND / 2199401 ONTARIO INC.,148 CRAIG STREET,,RUSSELL,ON,K4R 1A1,613-445-0468,613-445-0256,karine.boucher@sobeys.com,KARINE BOUCHER,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
308025,MICHAUD & LEVESQUE LTD.,222 MAIN STREET,,STURGEON FALLS,ON,P2B 2Z6,705-753-2233,705-753-1535,michmail@on.aibn.com,PAUL LEVESQUE,DUANE GIRARDIN,DISCOUNT10CAD,10,Pre-Auth Card
308073,TRU HARDWARE-KUUJJUAQ #2446 / LES MAGASINS TULLIK I,TULLIK INC,"BUILDING 1285, PO BOX 1140",KUUJJUAQ,QC,J0M 1C0,819-964-2356,,tullikinc@hotmail.com,ERIC PERSON,DUANE GIRARDIN,DISCOUNT10CAD,10,NET 30
308080,GILLAM CO-OP FOOD STORE,335 MATTONABEE AVENUE,,GILLAM,MB,R0B 0L0,204-652-2661,204-652-2992,grocery@gillam.crs,Cheryl Friesen,DUANE GIRARDIN,DISCOUNT10CAD,10,NET 30
